                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 0.8426,                0.62531,                 1.2404,                0.85091,                0.83907,                0.86339,                0.59463,                 1.0636,                0.68326,                 1.6747,              0.0078022,              0.0078022,              0.0078022
                    113,                0.84019,                 0.6147,                  1.246,                0.85439,                 0.8298,                0.86802,                0.60057,                 1.0711,                0.67574,                 1.6874,              0.0077824,              0.0077824,              0.0077824
                    114,                0.83558,                0.61871,                 1.2371,                 0.8395,                0.86167,                0.87331,                0.60223,                 1.0678,                0.68249,                 1.6748,              0.0077626,              0.0077626,              0.0077626
                    115,                0.83892,                0.61403,                 1.2369,                0.86377,                0.83677,                0.87163,                 0.6058,                 1.0714,                 0.6765,                 1.6762,              0.0077428,              0.0077428,              0.0077428
                    116,                0.83993,                0.62456,                 1.2367,                0.86725,                0.83068,                0.86712,                0.60626,                 1.0623,                0.67351,                 1.6661,               0.007723,               0.007723,               0.007723
                    117,                0.83034,                0.61285,                 1.2294,                0.84855,                0.85575,                0.87108,                0.61134,                 1.0596,                0.68395,                 1.6657,              0.0077032,              0.0077032,              0.0077032
                    118,                0.83532,                0.60771,                 1.2345,                0.83837,                0.86886,                0.87482,                0.61237,                 1.0577,                0.66419,                 1.6618,              0.0076834,              0.0076834,              0.0076834
                    119,                0.82991,                0.60644,                 1.2287,                0.87127,                 0.8471,                0.87622,                0.60953,                 1.0536,                0.65429,                 1.6603,              0.0076636,              0.0076636,              0.0076636
                    120,                0.83683,                0.61075,                  1.235,                0.86853,                0.84328,                0.87585,                 0.6065,                 1.0623,                0.65512,                 1.6794,              0.0076438,              0.0076438,              0.0076438
                    121,                0.82708,                0.60838,                   1.23,                0.87053,                0.84763,                0.87583,                0.60694,                 1.0734,                0.66853,                 1.6923,               0.007624,               0.007624,               0.007624
                    122,                0.81812,                0.59303,                 1.2257,                0.86801,                0.84871,                0.87043,                0.60799,                 1.0704,                0.67237,                 1.6865,              0.0076042,              0.0076042,              0.0076042
                    123,                0.82588,                0.60582,                 1.2303,                0.85088,                0.86866,                0.87714,                0.61367,                 1.0538,                0.65894,                 1.6689,              0.0075844,              0.0075844,              0.0075844
                    124,                 0.8284,                0.60209,                 1.2318,                0.84612,                0.87062,                0.87806,                0.61145,                 1.0568,                 0.6582,                 1.6706,              0.0075646,              0.0075646,              0.0075646
                    125,                0.82286,                  0.602,                 1.2341,                0.87169,                0.85897,                0.88664,                0.61842,                 1.0529,                0.64244,                 1.6599,              0.0075448,              0.0075448,              0.0075448
                    126,                0.82579,                0.60281,                 1.2338,                0.85507,                0.87309,                0.89129,                0.62274,                 1.0597,                0.63692,                  1.675,               0.007525,               0.007525,               0.007525
                    127,                0.83198,                0.59977,                 1.2334,                0.85429,                0.86707,                0.88727,                0.61968,                   1.06,                0.63704,                 1.6731,              0.0075052,              0.0075052,              0.0075052
                    128,                0.83608,                0.60793,                  1.233,                0.87069,                0.86765,                0.88853,                0.62052,                 1.0567,                 0.6395,                 1.6677,              0.0074854,              0.0074854,              0.0074854
                    129,                0.81755,                0.59099,                 1.2227,                0.87805,                0.86098,                0.88708,                0.62026,                 1.0461,                0.64198,                 1.6658,              0.0074656,              0.0074656,              0.0074656
                    130,                0.81772,                0.60002,                 1.2166,                0.87241,                0.86452,                 0.8884,                0.61807,                 1.0386,                0.64514,                 1.6581,              0.0074458,              0.0074458,              0.0074458
                    131,                0.82219,                0.59816,                 1.2253,                0.86778,                0.86099,                0.88522,                0.61929,                  1.052,                0.64882,                 1.6654,               0.007426,               0.007426,               0.007426
                    132,                0.83012,                0.59429,                 1.2273,                0.86859,                0.85663,                 0.8817,                0.62039,                 1.0532,                0.64934,                 1.6708,              0.0074062,              0.0074062,              0.0074062
                    133,                0.82357,                0.59489,                 1.2301,                 0.8698,                0.86025,                0.87846,                0.61914,                 1.0437,                0.65036,                 1.6643,              0.0073864,              0.0073864,              0.0073864
                    134,                0.82385,                0.60685,                 1.2238,                0.86769,                0.85569,                0.87343,                0.61862,                 1.0415,                0.64608,                 1.6568,              0.0073666,              0.0073666,              0.0073666
                    135,                0.81655,                0.60428,                 1.2182,                0.86084,                0.85285,                 0.8738,                0.61925,                 1.0444,                0.64772,                 1.6531,              0.0073468,              0.0073468,              0.0073468
                    136,                0.81353,                0.59336,                 1.2243,                0.86882,                0.84723,                 0.8789,                0.62358,                  1.042,                0.63963,                  1.649,               0.007327,               0.007327,               0.007327
                    137,                0.82094,                0.59769,                 1.2209,                0.85819,                 0.8557,                0.87957,                0.62481,                 1.0394,                0.63842,                 1.6422,              0.0073072,              0.0073072,              0.0073072
                    138,                0.82015,                0.60308,                 1.2215,                0.86681,                0.84933,                0.88194,                0.62612,                 1.0373,                0.63347,                 1.6369,              0.0072874,              0.0072874,              0.0072874
                    139,                0.82374,                0.60069,                 1.2239,                0.87174,                0.85241,                0.88542,                0.62794,                 1.0386,                0.62445,                 1.6436,              0.0072676,              0.0072676,              0.0072676
                    140,                0.81892,                0.59295,                 1.2173,                0.86967,                0.85272,                0.88715,                0.62962,                 1.0387,                0.62514,                 1.6466,              0.0072478,              0.0072478,              0.0072478
                    141,                0.80936,                0.59009,                 1.2148,                0.87962,                0.85034,                0.88945,                0.63292,                 1.0319,                0.62159,                 1.6354,               0.007228,               0.007228,               0.007228
                    142,                 0.8178,                0.58788,                 1.2217,                0.87166,                0.85019,                0.89071,                0.63549,                 1.0405,                0.62277,                 1.6437,              0.0072082,              0.0072082,              0.0072082
                    143,                0.80727,                0.58761,                 1.2097,                0.86674,                0.85393,                0.88922,                0.63558,                 1.0372,                0.61916,                 1.6477,              0.0071884,              0.0071884,              0.0071884
                    144,                0.80971,                0.58956,                  1.221,                0.88633,                0.83707,                0.88969,                0.63013,                 1.0459,                0.63069,                 1.6592,              0.0071686,              0.0071686,              0.0071686
                    145,                0.80747,                0.57193,                 1.2196,                0.86168,                0.86043,                0.88757,                0.62708,                 1.0506,                0.62919,                 1.6708,              0.0071488,              0.0071488,              0.0071488
